group|smarts|molecular_weight
CH3|[CX4H3]|15.035
CH2|[CX4H2;!R]|14.027
CH|[CX4H;!R]|13.019
C|[CX4H0;!R]|12.011
CH2=CH|[CH2]=[CH]|27.046
CH=CH|[CH;!R]=[CH;!R]|26.038
CH2=C|[CH2]=[CH0;!R]|26.038
CH=C|[CH;!R]=[CH0;!R]|25.03
C=C|[CH0;!R]=[CH0;!R]|24.022
CH2=C=CH|[CH2]=[CH0;!R]=[CH;!R]|39.0564
CH2=C=C|[CH2]=[CH0;!R]=[CH0;!R]|38.0486
C=C=C|[CH0;!R]=[CH0;!R]=[CH0;!R]|36.033
CH≡C|[CH]#[CH0]|25.0298
C≡C|[CH0]#[CH0]|24.022
aCH|[cH]|13.019
aC fused with aromatic ring|[cH0;$([cH0;R2,R3]([a;R2,R3]([a;R])[a;R])([a;R])[a;R])]|12.011
aC fused with non-aromatic ring|[cH0;$([cH0;R2,R3]([a;R2,R3]([a;R])[A;R])([a;R])[a;R]),$([cH0;R2,R3]([a;R2,R3]([a;R])[a;R])([a;R])[A;R]),$([cH0;R2,R3]([a;R2,R3]([a;R])[A;R])([a;R])[A;R])]|12.011
aC except as above|[cH0;R1]|12.011
aN in aromatic ring|[nH0;R]|14.007
aC-CH3|[cH0][CX4H3]|27.046
aC-CH2|[cH0][CX4H2;!R]|26.038
aC-CH|[cH0][CX4H;!R]|25.03
aC-C|[cH0][CX4H0;!R]|24.0222
aC-CH=CH2|[cH0][CH;!R]=[CH2]|39.0564
aC-CH=CH|[cH0][CH;!R]=[CH;!R]|38.0486
aC-C=CH2|[cH0][CH0;!R]=[CH2]|38.0486
aC-C≡CH|[cH0][CH0;!R]#[CH]|37.0408
aC-C≡C|[cH0][CH0;!R]#[CH0;!R]|36.033
OH|[OH]|17.007
aC-OH|[cH0][OH]|29.018
COOH|[CH0](=O)[OH]|45.017
aC-COOH|[cH0][CH0](=O)[OH]|57.028
CH3CO|[CH3][CH0;!R;!$([CH0][OH,NH2])]=O|43.045
CH2CO|[CH2][CH0;!R;!$([CH0][OH,NH2])]=O|42.037
CHCO|[CH;!R][CH0;!R;!$([CH0][OH,NH2])]=O|41.028841
CCO|[CH0;!R][CH0;!R;!$([CH0][OH,NH2])]=O|40.021
aC-CO|[cH0][CH0;!R;!$([CH0][OH,NH2])]=O|40.021
CHO|[CH](=O)|29.018
aC-CHO|[cH0][CH](=O)|41.029
CH3COO|[CH3;!R][C](=O)[OH0]|59.044
CH2COO|[CX4H2;!R][C](=O)[OH0]|58.036
CHCOO|[CX4H;!R][C](=O)[OH0]|57.0282
CCOO|[CX4H0;!R][C](=O)[OH0]|56.0204
HCOO|[CH](=O)[OH0]|45.017
aC-COO|[cH0][CH0;!R](=O)[OH0]|56.0204
aC-OOCH|[cH0][OH0;!R][CH](=O)|57.028
aC-OOC|[cH0][OH0;!R][CH0](=O)|56.0202
COO except as above|[CH0;!R](=[OH0;!R])[OH0;!R]|44.009
CH3O|[CH3][OH0;!$([OH0]S=O);!$([OH0][P]);!$([OH0][CH0]=O)]|31.034
CH2O|[CH2;!R][OH0;!$([OH0]S=O);!$([OH0][P]);!$([OH0][CH0]=O)]|30.026
CH-O|[CH;!R][OH0;!$([OH0]S=O);!$([OH0][P]);!$([OH0][CH0]=O)]|29.018
C-O|[CH0;!R][OH0;!$([OH0]S=O);!$([OH0][P]);!$([OH0][CH0]=O)]|28.0102
aC-O|[cH0][OH0;!R;!$([OH0]S=O);!$([OH0][P]);!$([OH0][CH0]=O)]|28.0102
CH2NH2|[CX4H2;!R][NH2]|30.05
CHNH2|[CX4H;!R][NH2]|29.042
CNH2|[CX4H0;!R][NH2]|28.0342
CH3NH|[CH3][NH;!$([NH][CH0]=O)]|30.05
CH2NH|[CH2;!R][NH;!R;!$([NH][CH0]=O)]|29.042
CHNH|[CH;!R][NH;!R]|28.034
CH3N|[CH3][NH0;!R]|29.042
CH2N|[CH2;!R][NH0;!R]|28.034
aC-NH2|[cH0][NH2]|28.0342
aC-NH|[cH0][NH;!R]|27.0262
aC-N|[cH0][NX3H0;!R]|26.0184
NH2 except as above|[NH2]|16.0226
CH=N|[CH;!R]=[NH0]|27.0258
C=N|[CH0;!R]=[NH0]|26.018
CH2CN|[CH2;!R][C]#[N]|40.045
CHCN|[CX4H;!R][C]#[N]|39.0372
CCN|[CX4H0;!R][C]#[N]|38.0294
aC-CN|[cH0][C]#[N]|38.0294
CN except as above|[C;!R]#[N]|26.018
