group|smarts
(CH3)2CH|[CH;!R;!$([CH][cH0])]([CH3])[CH3]
(CH3)3C|[CH0;!R;!$([CH0][cH0])]([CH3])([CH3])[CH3]
CH(CH3)CH(CH3)|[CH;!R](*)([CH3])[CH;!R](*)([CH3])
CH(CH3)C(CH3)2|[CH;!R](*)([CH3])[CH0;!R](*)([CH3])[CH3]
C(CH3)2C(CH3)2|[CH0;!R](*)([CH3])([CH3])[CH0;!R](*)([CH3])[CH3]
CHn=CHm-CHp=CHk (k,m,n,p in 0..2)|[CH0,CH1,CH2;!R]=[CH0,CH1;!R][CH0,CH1;!R]=[CH0,CH1,CH2;!R]
CH3-CHm=CHn (m,n in 0..2)|[CH3][CH0,CH1;!R]=[CX3H0,CX3H1,CX3H2;!R]
CH2-CHm=CHn (m,n in 0..2)|[CH2;!R][CH0,CH1;!R]=[CX3H0,CX3H1,CX3H2;!R]
CHp-CHm=CHn (m,n in 0..2; p in 0..1)|[CX4H0,CX4H1;!R][CH0,CH1,CH2;!R]=[CX3H0,CX3H1,CX3H2;!R]
CHCHO or CCHO|[CX4H,CX4H0;!R][CH;!R]=[OH0]
CH3COCH2|[CX4H3][CH0;!R](=[OH0])[CX4H2;!R;!$([CH2][OH])]
CH3COCH or CH3COC|[CX4H3][CH0;!R](=[OH0])[CX4H,CX4H0;!R]
CHCOOH or CCOOH|[CX4H,CX4H0;!R;!$([C][a,OH]);!$([C][N;!R])!$([C]([CH0](=O)[OH])[CH0](=O)[OH])][CH0;!R](=[OH0])[OH]
CH3COOCH or CH3COOC|[CX4H3][CH0;!R](=[OH0])[O][CX4H,CX4H0;!R]
CO-O-CO|[CH0;!R;!$([CH0]([OH0])[OH0])](=O)[OH0][CH0;!R;!$([CH0]([OH0])[OH0])](=O)
CHOH|[CX4H;!R;!$([CH][CH0](=O)[OH0]);!$([CH][C;!R][OH]);!$([CH][cH0]);!$([CH][CH2,CH][NH,NH2]);!$([CH][CH0]#N)][OH]
COH|[CX4H0;!R;$([CX4H0]([CX4])([CX4])[CX4])][OH]
CH3COCHnOH (n in 0..2)|[CH3][CH0;!R](=[OH0])[CX4H0,CX4H1,CX4H2;!R][OH]
NCCHOH or NCCOH|[NH0]#[CH0;!R][CX4H0,CX4H;!R][OH]
OH-CHn-COO (n in 0..2)|[OH][CH0,CH1,CH2;!R][CH0]([OH0])=O
CHm(OH)CHn(OH) (m,n in 0..2)|[CX4H0,CX4H1,CX4H2;!R]([OH])[CX4H0,CX4H1,CX4H2;!R][OH]
CHm(OH)CHn(NHp) (m,n,p in 0..2)|[CX4H0,CX4H1,CX4H2;!R]([OH])[CX4H0,CX4H1,CX4H2;!R][NH1,NH2;!R;!$([N][Cl,a])]
CHm(NH2)CHn(NH2) (m,n in 0..2)|[CX4H0,CX4H1,CX4H2;!R]([NH2])[CX4H0,CX4H1,CX4H2;!R][NH2]
CHm(NH)CHn(NH2) (m,n in 1..2)|[CX4H0,CX4H,CX4H2;!R]([NH;!R])[CX4H0,CX4H,CX4H2;!R][NH2]
H2NCOCHnCHmCONH2 (m,n in 1..2)|[NH2][CH0](=O)[CX4H,CX4H2;!R][CX4H,CX4H2;!R][CH0](=O)[NH2]
CHm(NHn)-COOH (m,n in 0..2)|[CX4H0,CX4H1,CX4H2;!R]([NH0,NH1,NH2;!R])[CH0]([OH])=[OH0]
HOOC-CHn-COOH (n in 1..2)|[OH][CH0;!R](=O)[CX4H0,CX4H,CX4H2;!R][CH0;!R](=O)[OH]
HOOC-CHn-CHm-COOH (n, m in 1..2)|[OH][CH0;!R](=O)[CX4H0,CX4H,CX4H2;!R][CX4H0,CX4H,CX4H2;!R][CH0;!R](=O)[OH]
HO-CHn-COOH (n in 0..2)|[OH][CX4H0,CX4H1,CX4H2;!R][CH0]([OH])=O
NH2-CHn-CHm-COOH (n, m in 1..2)|[NH2][CX4H1,CX4H2;!R][CX4H1,CX4H2;!R][CH0]([OH])=O
CH3-O-CHn-COOH (n in 1..2)|[CX4H3][O][CX4H0,CX4H,CX4H2;!R][CH0]([OH])=O
HS-CH-COOH|[SX2H][CX4H0,CX4H,CX4H2;!R][CH0]([OH])=O
HS-CHn-CHm-COOH (n, m in 1..2)|[SX2H][CX4H0,CX4H1,CX4H2;!R][CX4H0,CX4H1,CX4H2;!R][CH0]([OH])=O
