group|smarts|contribute
(CH3)2CH|[CH]([CH3])[CH3]|""{"(CH3)2CH": 1}"
(CH3)3C|[CH0]([CH3])([CH3])[CH3]|""{"(CH3)3C": 1}"
CH(CH3)CH(CH3)|[CH]([CH3])[CH]([CH3])|""{"CH(CH3)CH(CH3)": 1}"
CH(CH3)C(CH3)2|[CH]([CH3])[CH0]([CH3])([CH3])|""{"CH(CH3)C(CH3)2": 1}"
C(CH3)2C(CH3)2|[CH0]([CH3])([CH3])[CH0]([CH3])([CH3])|""{"C(CH3)2C(CH3)2": 1}"
3 membered ring|[C;R]1[C;R][C;R]1|""{"3 membered ring": 1}"
4 membered ring|[C;R]1[C;R][C;R][C;R]1|""{"4 membered ring": 1}"
5 membered ring|[C;R]1[C;R][C;R][C;R][C;R]1|""{"5 membered ring": 1}"
6 membered ring|[C;R]1[C;R][C;R][C;R][C;R][C;R]1|""{"6 membered ring": 1}"
7 membered ring|[C;R]1[C;R][C;R][C;R][C;R][C;R][C;R]1|""{"7 membered ring": 1}"
CHn=CHm-CHp=CHk|[C]=[C]-[C]=[C]|""{"CHn=CHm-CHp=CHk": 1}""
CH3-CHm=CHn|[CH3]-[C]=[C]|""{"CH3-CHm=CHn": 1}""
CH2-CHm=CHn|[CH2]-[C]=[C]|""{"CH2-CHm=CHn": 1}""
CH-CHm=CHn|[CH1]-[C]=[C]|""{"CH-CHm=CHn": 1}""
C-CHm=CHn|[CH0]-[C]=[C]|""{"C-CHm=CHn": 1}""
