group|subgroup_number|main_group|R|Q
CH3|1|1|0.6325|1.0608
CH2|2|1|0.6325|0.7081
CH|3|1|0.6325|0.3554
C|4|1|0.6325|0
CH2=CH|5|2|1.2832|1.6016
CH=CH|6|2|1.2832|1.2489
CH2=C|7|2|1.2832|1.2489
CH=C|8|2|1.2832|0.8962
ACH|9|3|0.3763|0.4321
AC|10|3|0.3763|0.2113
ACCH3|11|4|0.91|0.949
ACCH2|12|4|0.91|0.7962
ACCH|13|4|0.91|0.3769
OH (P)|14|5|1.2302|0.8927
CH3OH|15|6|0.8585|0.9938
H2O|16|7|1.7334|2.4561
ACOH|17|8|1.08|0.975
CH3CO|18|9|1.7048|1.67
CH2CO|19|9|1.7048|1.5542
HCO|20|10|0.7173|0.771
CH3COO|21|11|1.27|1.6286
CH2COO|22|11|1.27|1.4228
HCOO|23|12|1.9|1.8
CH3O|24|13|1.1434|1.6022
CH2O|25|13|1.1434|1.2495
CHO|26|13|1.1434|0.8968
THF|27|43|1.7023|1.8784
CH3NH2|28|14|1.6607|1.6904
CH2NH2|29|14|1.6607|1.3377
CHNH2|30|14|1.6607|0.985
CH3NH|31|15|1.368|1.4332
CH2NH|32|15|1.368|1.0805
CHNH|33|15|1.368|0.7278
CH3N|34|16|1.0746|1.176
CH2N|35|16|1.0746|0.824
ACNH2|36|17|1.1849|0.8067
AC2H2N|37|18|1.4578|0.9022
AC2HN|38|18|1.2393|0.633
AC2N|39|18|1.0731|0.353
CH3CN|40|19|1.5575|1.5193
CH2CN|41|19|1.5575|1.1666
COOH|42|20|0.8|0.9215
HCOOH|43|44|0.8|1.2742
CH2CL|44|21|0.9919|1.3654
CHCL|45|21|0.9919|1.0127
CCL|46|21|0.9919|0.66
CH2CL2|47|22|1.8|2.5
CHCL2|48|22|1.8|2.1473
CCL2|49|22|1.8|1.7946
CHCL3|50|45|2.45|2.8912
CCL3|51|23|2.65|2.3778
CCL4|52|24|2.618|3.1836
ACCL|53|25|0.5365|0.3177
CH3NO2|54|26|2.644|2.5
CH2NO2|55|26|2.5|2.304
CHNO2|56|26|2.887|2.241
ACNO2|57|27|0.4656|0.3589
CS2|58|28|1.24|1.068
CH3SH|59|29|1.289|1.762
CH2SH|60|29|1.535|1.316
FURFURAL|61|30|1.299|1.289
DOH|62|31|2.088|2.4
I|63|32|1.076|0.9169
BR|64|33|1.209|1.4
CH=-C|65|34|0.9214|1.3
C=-C|66|34|1.303|1.132
DMSO|67|35|3.6|2.692
ACRY|68|36|1|0.92
CL-(C=C)|69|37|0.5229|0.7391
C=C|70|2|1.2832|0.4582
ACF|71|38|0.8814|0.7269
DMF|72|39|2|2.093
HCON(CH2)2|73|39|2.381|1.522
CF3|74|40|1.284|1.266
CF2|75|40|1.284|1.098
CF|76|40|0.8215|0.5135
COO|77|41|1.6|0.9
CY-CH2|78|42|0.7136|0.8635
CY-CH|79|42|0.3479|0.1071
CY-C|80|42|0.347|0
OH (S)|81|5|1.063|0.8663
OH (T)|82|5|0.6895|0.8345
CY-CH2O|83|43|1.4046|1.4
TRIOXAN|84|43|1.0413|1.0116
CNH2|85|14|1.6607|0.985
NMP|86|46|3.981|3.2
NEP|87|46|3.7543|2.892
NIPP|88|46|3.5268|2.58
NTBP|89|46|3.2994|2.352
CONH2|91|47|1.4515|1.248
CONHCH3|92|47|1.5|1.08
HCONHCH3|93|49|2.4617|2.192
HCONHCH2|94|49|2.4617|1.842
CONHCH2|100|47|1.5|1.08
AM(CH3)2|101|48|2.4748|1.9643
AMCH3CH2|102|48|2.2739|1.5754
AM(CH2)2|103|48|2.0767|1.1866
AC2H2S|104|52|1.7943|1.34
AC2HS|105|52|1.6282|1.06
AC2S|106|52|1.4621|0.78
H2COCH|107|53|1.3601|1.8031
COCH|108|53|0.683|0.3418
HCOCH|109|53|0.9104|0.6538
(CH2)2SU|110|56|2.687|2.12
CH2SUCH|111|56|2.46|1.808
(CH3)2CB|112|55|2.42|2.4976
(CH2)2CB|113|55|2.42|2.0018
CH2CH3CB|114|55|2.42|2.2497
H2COCH2|119|53|1.063|1.123
CH3S|122|61|1.613|1.368
CH2S|123|61|1.3863|1.06
CHS|124|61|1.1589|0.748
H2COC|153|53|0.9104|0.6538
C3H2N2+|178|84|1.3662|0.6797
BTI-|179|85|5.621|5.9463
C3H3N2+|184|84|1.843|1.6997
C4H8N+|189|87|2.7867|2.7723
BF4-|195|89|3.9628|0.6214
C5H5N+|196|90|2.1094|2.5106
OTF-|197|91|3.371|2.0001
-S-S-|201|93|1.0678|2.244
SO4|209|98|0.9903|3.5249
HSO4|210|98|1.5654|3.8076
PF6|211|99|3.8183|3.6018
C5H4N+|220|90|2.4873|2.4457
