No.|Main Group Name|List of Subgroups
1|CH2|[1]CH3 [2]CH2 [3]CH [4]C
2|C=C|[5]CH2=CH [6]CH=CH [7]CH2=C [8]CH=C [70]C=C
3|ACH|[9]ACH [10]AC
4|ACCH2|[11]ACCH3 [12]ACCH2 [13]ACCH
5|OH|[14]OH (P) [81]OH (S) [82]OH (T)
6|CH3OH|[15]CH3OH
7|H2O|[16]H2O
8|ACOH|[17]ACOH
9|CH2CO|[18]CH3CO [19]CH2CO
10|CHO|[20]CHO
11|CCOO|[21]CH3COO [22]CH2COO
12|HCOO|[23]HCOO
13|CH2O|[24]CH3O [25]CH2O [26]CHO
14|CH2NH2|[28]CH3NH2 [29]CH2NH2 [30]CHNH2 [85]CNH2
15|CH2NH|[31]CH3NH [32]CH2NH [33]CHNH
16|(C)3N|[34]CH3N [35]CH2N
17|ACNH2|[36]ACNH2
18|PYRIDINE|[37]AC2H2N [38]AC2HN [39]AC2N
19|CH2CN|[40]CH3CN [41]CH2CN
20|COOH|[42]COOH
21|CCL|[44]CH2CL [45]CHCL [46]CCL
22|CCL2|[47]CH2CL2 [48]CHCL2 [49]CCL2
23|CCL3|[51]CCL3
24|CCL4|[52]CCL4
25|ACCL|[53]ACCL
26|CNO2|[54]CH3NO2 [55]CH2NO2 [56]CHNO2
27|ACNO2|[57]ACNO2
28|CS2|[58]CS2
29|CH3SH|[59]CH3SH [60]CH2SH
30|FURFURAL|[61]FURFURAL
31|DOH|[62]DOH
32|I|[63]I
33|BR|[64]BR
34|C=-C|[65]CH=-C [66]C=-C
35|DMSO|[67]DMSO
36|ACRY|[68]ACRY
37|CLCC|[69]CL-(C=C)
38|ACF|[71]ACF
39|DMF|[72]DMF [73]HCON(..
40|CF2|[74]CF3 [75]CF2 [76]CF
41|COO|[77]COO
42|CY-CH2|[78]CY-CH2 [79]CY-CH [80]CY-C
43|CY-CH2O|[27]THF [83]CY-CH2O [84]TRIOXAN
44|HCOOH|[43]HCOOH
45|CHCL3|[50]CHCL3
46|CY-CONC|[86]NMP [87]NEP [88]NIPP [89]NTBP
47|CONR|[91]CONH2 [92]CONHCH3 [100]CONHCH2
48|CONR2|[101]AM(CH3)2 [102]AMCH3CH2 [103]AM(CH2)2
49|HCONR|[93]HCONHCH3 [94]HCONHCH2
52|ACS|[104]AC2H2S [105]AC2HS [106]AC2S
53|EPOXIDES|[107]H2COCH [108]COCH [109]HCOCH [119]H2COCH2 [153]H2COC
55|CARBONAT|[112](CH3)2CB [113](CH2)2CB [114]CH2CH3CB
56|SULFONE|[110](CH2)2SU [111]CH2SUCH
61|CH2S|[122]CH3S [123]CH2S [124]CHS
84|IMIDAZOL|[178]C3H2N2+ [184]C3H3N2+
85|BTI|[179]BTI-
87|PYRROL|[189]C4H8N+
89|BF4|[195]BF4-
90|PYRIDIN|[196]C5H5N+ [220]C5H4N+
91|OTF|[197]OTF-
93|-S-S-|[201]-S-S-
98|SO4|[209]SO4 [210]HSO4
99|PF6|[211]PF6
