group|smarts|molecular_weight
-CH3|[CX4H3]|15.035
-CH2-|[CX4H2;!R]|14.027
>CH-|[CX4H;!R]|13.019
>C<|[CX4H0;!R]|12.011
=CH2|[CX3H2]|14.0266
=CH-|[CHX3;!R]|13.0188
=C<|[CX3H0;!R]|12.011
=C=|[CX2H0;!R;!$([CH0](-*)#*)]|12.011
CH|[CX2H;!$([CH]#[N])]|13.019
C|[CH0X2;!$([CH0](=*)=*)]|12.011
ring-CH2-|[#6X4H2;R]|14.027
ring>CH-|[#6X4H;R]|13.019
ring>C<|[#6X4H0;R]|12.011
ring=CH-|[#6X3H;R]|13.019
ring=C<|[#6H0X3;R;!$([CH0](=O)(-*)(-*))]|12.011
-F|[FX1H0]|18.998
-Cl|[ClX1H0]|35.453
-Br|[BrX1H0]|79.904
-I|[IX1H0]|126.9
-OH (alcohol)|[OH;$([OH][C])]|17.007
-OH (phenol)|[OH;$([OH][c])]|17.007
-O- (non-ring)|[OX2H0;!R]|15.999
-O- (ring)|[#8X2H0;R]|15.999
>C=O (non-ring)|[CX3H0;!R;!$([CX3H0](=O)-O)](=[O])|28.01
>C=O (ring)|[CX3H0;R;!$([CX3H0](=O)-O)](=[O])|28.01
O=CH- (aldehyde)|[CH;!$([CH]-O)]=O|29.018
-COOH (acid)|[CH0](=O)(-[OH])|45.017
-COO- (ester)|[CH0](=O)[OH0]|44.009
=O (other than above)|[OH0X1;!$([OH0]=[#6X3]);!$([O]=[NX3,NX3+]~[O-])]|15.999
-NH2|[NH2]|16.0226
>NH (non-ring)|[#7X3H1;!R]|15.0148
>NH (ring)|[#7X3H1;R]|15.0148
>N- (non-ring)|[#7X3H0;!R]|14.007
-N= (non-ring)|[#7X2H0;!R]|14.007
-N= (ring)|[#7X2H0;R]|14.007
=NH|[#7X2H1]|15.0148
-CN|[#6H0X2]#[#7X1H0]|26.018
-NO2|[NX3,NX3+](=[O])~[O-]|46.005
-SH|[SH]|33.0728
-S- (non-ring)|[SH0X2;!R]|32.065
-S- (ring)|[#16H0X2;R]|32.065
