group|smarts|contribute|composed|subgroup_number|main_group|R|Q|molecular_weight
CH3|[CX4H3]|"{""CH3"": 1}"|n|1|1|0.9011|0.848|15.035
CH2|[CX4H2]|"{""CH2"": 1}"|n|2|1|0.6744|0.54|14.027
CH|[CX4H]|"{""CH"": 1}"|n|3|1|0.4469|0.228|13.019
C|[CX4H0]|"{""C"": 1}"|n|4|1|0.2195|0|12.011
CH2=CH|[CH2]=[CH]|"{""CH2=CH"": 1}"|n|5|2|1.3454|1.176|27.046
CH=CH|[CH]=[CH]|"{""CH=CH"": 1}"|n|6|2|1.1167|0.867|26.038
CH2=C|[CH2]=[CH0]|"{""CH2=C"": 1}"|n|7|2|1.1173|0.988|26.038
CH=C|[CH]=[CH0]|"{""CH=C"": 1}"|n|8|2|0.8886|0.676|25.03
ACH|[cH]|"{""ACH"": 1}"|n|9|3|0.5313|0.4|13.019
AC|[cH0](a)(a)(*)|"{""AC"": 1}"|n|10|3|0.3652|0.12|12.011
ACCH3|[c][CX4H3]|"{""ACCH3"": 1, ""CH3"": -1, ""AC"": -1}"|y|11|4|1.2663|0.968|27.046
ACCH2|[c][CX4H2]|"{""ACCH2"": 1, ""CH2"": -1, ""AC"": -1}"|y|12|4|1.0396|0.66|26.038
ACCH|[c][CX4H]|"{""ACCH"": 1, ""CH"": -1, ""AC"": -1}"|y|13|4|0.8121|0.348|25.03
OH|[OH]([#6,Si])|"{""OH"": 1}"|n|14|5|1|1.2|17.007
CH3OH|[CH3][OH]|"{""CH3OH"": 1, ""CH3"": -1, ""OH"": -1}"|n|15|6|1.4311|1.432|32.042
H2O|[OH2]|"{""H2O"": 1}"|n|16|7|0.92|1.4|18.015
ACOH|[cH0][OH]|"{""ACOH"": 1, ""OH"": -1, ""AC"": -1}"|y|17|8|0.8952|0.68|29.018
CH3CO|[CH3]C(=O)([#6,Si])|"{""CH3CO"": 1, ""CH3"" : -1}"|n|18|9|1.6724|1.488|43.045
CH2CO|[CH2]C(=O)[$([#6,Si]);!$([CH3])]|"{""CH2CO"": 1, ""CH2"": -1}"|n|19|9|1.4457|1.18|42.037
HCO|[CH](=O)([#6,Si])|"{""HCO"": 1}"|n|20|10|0.998|0.948|29.018
CH3COO|[CH3][C](=O)[OH0]|"{""CH3COO"": 1, ""CH3"": -1, ""COO"": -1}"|y|21|11|1.9031|1.728|59.044
CH2COO|[CH2][C](=O)[OH0]|"{""CH2COO"": 1, ""CH2"": -1, ""COO"": -1}"|y|22|11|1.6764|1.42|58.036
HCOO|[CH](=O)[OH0]|"{""HCOO"": 1, ""COO"": -1}"|n|23|12|1.242|1.188|45.017
CH3O|[CH3]O[$([Si,#6]);!$([CH](=O));!$(C(=O)[!O])]|"{""CH3O"": 1, ""CH3"": -1}"|n|24|13|1.145|1.088|31.034
CH2O|[CH2]O[$([Si,#6]);!$([CH](=O));!$(C(=O)[!O]);!$([CH3])]|"{""CH2O"": 1, ""CH2"": -1}"|n|25|13|0.9183|0.78|30.026
CHO|[CH]O[$([Si,#6]);!$([CH](=O));!$(C(=O)[!O]);!$([CH3]);!$([CH2])]|"{""CHO"": 1, ""CH"": -1}"|n|26|13|0.6908|0.468|29.018
THF|[CH2]1[CH2]O[CH2][CH2]1|"{""THF"": 1, ""CH2O"": -1, ""CH2"": -3}"|n|27|13|0.9183|1.1|72.107
CH3NH2|[CH3][NH2]|"{""CH3NH2"": 1, ""CH3"": -1}"|n|28|14|1.5959|1.544|31.058
CH2NH2|[CH2][NH2]|"{""CH2NH2"": 1, ""CH2"": -1}"|n|29|14|1.3692|1.236|30.05
CHNH2|[CH][NH2]|"{""CHNH2"": 1, ""CH"": -1}"|n|30|14|1.1417|0.924|29.042
CH3NH|[CH3][NH][#6,Si;!$([CH](=O));!$(C(=O)[!N])]|"{""CH3NH"": 1, ""CH3"": -1}"|n|31|15|1.4337|1.244|30.05
CH2NH|[CH2][NH][$([#6,Si;!$([CH](=O));!$(C(=O)[!N])])&!$([CH3])]|"{""CH2NH"": 1, ""CH2"": -1}"|n|32|15|1.207|0.936|29.042
CHNH|[CH][NH][$([#6,Si;!$([CH](=O));!$(C(=O)[!N])])&!$([CH3])&!$([CH2])]|"{""CHNH"": 1, ""CH"": -1}"|n|33|15|0.9795|0.624|28.034
