no.|main group name|subgroups
1|CH2|[1]CH3 [2]CH2 [3]CH [4]C
2|C=C|[5]CH2=CH [6]CH=CH [7]CH2=C [8]CH=C [70]C=C
3|ACH|[9]ACH [10]AC
4|ACCH2|[11]ACCH3 [12]ACCH2 [13]ACCH
5|OH|[14]OH
6|CH3OH|[15]CH3OH
7|H2O|[16]H2O
8|ACOH|[17]ACOH
9|CH2CO|[18]CH3CO [19]CH2CO
10|HCO|[20]HCO
11|CCOO|[21]CH3COO [22]CH2COO
12|HCOO|[23]HCOO
13|CH2O|[24]CH3O [25]CH2O [26]CHO [27]THF
14|CNH2|[28]CH3NH2 [29]CH2NH2 [30]CHNH2
15|CNH|[31]CH3NH [32]CH2NH [33]CHNH
16|(C)3N|[34]CH3N [35]CH2N
17|ACNH2|[36]ACNH2
18|PYRIDINE|[37]C5H5N [38]C5H4N [39]C5H3N
19|CCN|[40]CH3CN [41]CH2CN
20|COOH|[42]COOH [43]HCOOH
21|CCL|[44]CH2CL [45]CHCL [46]CCL
22|CCL2|[47]CH2CL2 [48]CHCL2 [49]CCL2
23|CCL3|[50]CHCL3 [51]CCL3
24|CCL4|[52]CCL4
25|ACCL|[53]ACCL
26|CNO2|[54]CH3NO2 [55]CH2NO2 [56]CHNO2
27|ACNO2|[57]ACNO2
28|CS2|[58]CS2
29|CH3SH|[59]CH3SH [60]CH2SH
30|FURFURAL|[61]FURFURAL
31|DOH|[62]DOH
32|I|[63]I
33|BR|[64]BR
34|C=-C|[65]CH=-C [66]C=-C
35|DMSO|[67]DMSO
36|ACRY|[68]ACRY
37|CLCC|[69]CL-(C=C)
38|ACF|[71]ACF
39|DMF|[72]DMF [73]HCON(..
40|CF2|[74]CF3 [75]CF2 [76]CF
41|COO|[77]COO
42|SIH2|[78]SIH3 [79]SIH2 [80]SIH [81]SI
43|SIO|[82]SIH2O [83]SIHO [84]SIO
44|NMP|[85]NMP
45|CCLF|[86]CCL3F [87]CCL2F [88]HCCL2F [89]HCCLF [90]CCLF2 [91]HCCLF2 [92]CCLF3 [93]CCL2F2
46|CON(AM)|[94]AMH2 [95]AMHCH3 [96]AMHCH2 [97]AM(CH3)2 [98]AMCH3CH2 [99]AM(CH2)2
47|OCCOH|[100]C2H5O2 [101]C2H4O2
48|CH2S|[102]CH3S [103]CH2S [104]CHS
49|MORPH|[105]MORPH
50|THIOPHEN|[106]C4H4S [107]C4H3S [108]C4H2S
51|NCO|[109]NCO
55|SULFONES|[118](CH2)2SU [119]CH2CHSU
84|IMIDAZOL|[178]IMIDAZOL
85|BTI|[179]BTI
