group|smarts|true_smarts|contribute|composed|molecular_weight|subgroup_number|main_group|R|Q
CH3|[CX4H3]||"{""CH3"": 1}"|n|15.035|1|1|0.9011|0.848
CH2|[CX4H2]||"{""CH2"": 1}"|n|14.027|2|1|0.6744|0.54
CH|[CX4H]||"{""CH"": 1}"|n|13.019|3|1|0.4469|0.228
C|[CX4H0]||"{""C"": 1}"|n|12.011|4|1|0.2195|0
CH2=CH|[CH2]=[CH]||"{""CH2=CH"": 1}"|n|27.046|5|2|1.3454|1.176
CH=CH|[CH]=[CH]||"{""CH=CH"": 1}"|n|26.038|6|2|1.1167|0.867
CH2=C|[CH2]=[CH0]||"{""CH2=C"": 1}"|n|26.038|7|2|1.1173|0.988
CH=C|[CH]=[CH0]||"{""CH=C"": 1}"|n|25.03|8|2|0.8886|0.676
ACH|[cH]||"{""ACH"": 1}"|n|13.019|9|3|0.5313|0.4
AC|[cH0]||"{""AC"": 1}"|n|12.011|10|3|0.3652|0.12
ACCH3|[c][CX4H3]||"{""ACCH3"": 1, ""CH3"": -1, ""AC"": -1}"|y|27.046|11|4|1.2663|0.968
ACCH2|[c][CX4H2]||"{""ACCH2"": 1, ""CH2"": -1, ""AC"": -1}"|y|26.038|12|4|1.0396|0.66
ACCH|[c][CX4H]||"{""ACCH"": 1, ""CH"": -1, ""AC"": -1}"|y|25.03|13|4|0.8121|0.348
OH|[OH]||"{""OH"": 1}"|n|17.007|14|5|1|1.2
CH3OH|[CH3][OH]||"{""CH3OH"": 1, ""CH3"": -1, ""OH"": -1}"|n|32.042|15|6|1.4311|1.432
H2O|[OH2]||"{""H2O"": 1}"|n|18.015|16|7|0.92|1.4
ACOH|[cH0][OH]||"{""ACOH"": 1, ""OH"": -1, ""AC"": -1}"|y|29.018|17|8|0.8952|0.68
CH3CO|[CH3]C(=O)([#6,Si])|[CH3]C(=O)|"{""CH3CO"": 1, ""CH3"" : -1}"|n|43.045|18|9|1.6724|1.488
CH2CO|[CH2]C(=O)[$([#6,Si]);!$([CH3])]|[CH2]C(=O)|"{""CH2CO"": 1, ""CH2"": -1}"|n|42.037|19|9|1.4457|1.18
HCO|[CH](=O)([#6,Si])|[CH](=O)|"{""HCO"": 1}"|n|29.018|20|10|0.998|0.948
CH3COO|[CH3][C](=O)[OH0]||"{""CH3COO"": 1, ""CH3"": -1, ""COO"": -1}"|y|59.044|21|11|1.9031|1.728
CH2COO|[CH2][C](=O)[OH0]||"{""CH2COO"": 1, ""CH2"": -1, ""COO"": -1}"|y|58.036|22|11|1.6764|1.42
HCOO|[CH](=O)[OH0]||"{""HCOO"": 1, ""COO"": -1}"|n|45.017|23|12|1.242|1.188
CH3O|[CH3]O[$([Si,#6]);!$([CH](=O));!$(C(=O)[!O])]|[CH3][OH0]|"{""CH3O"": 1, ""CH3"": -1}"|n|31.034|24|13|1.145|1.088
CH2O|[CH2]O[$([Si,#6]);!$([CH](=O));!$(C(=O)[!O]);!$([CH3])]|[CH2][OH0]|"{""CH2O"": 1, ""CH2"": -1}"|n|30.026|25|13|0.9183|0.78
CHO|[CH]O[$([Si,#6]);!$([CH](=O));!$(C(=O)[!O]);!$([CH3]);!$([CH2])]|[CH][OH0]|"{""CHO"": 1, ""CH"": -1}"|n|29.018|26|13|0.6908|0.468
THF|[CH2]1[CH2]O[CH2][CH2]1||"{""THF"": 1, ""CH2O"": -1, ""CH2"": -3}"|n|72.107|27|13|0.9183|1.1
CH3NH2|[CH3][NH2]||"{""CH3NH2"": 1, ""CH3"": -1}"|n|31.058|28|14|1.5959|1.544
CH2NH2|[CH2][NH2]||"{""CH2NH2"": 1, ""CH2"": -1}"|n|30.05|29|14|1.3692|1.236
CHNH2|[CH][NH2]||"{""CHNH2"": 1, ""CH"": -1}"|n|29.042|30|14|1.1417|0.924
CH3NH|[CH3][NH][#6,Si;!$([CH](=O));!$(C(=O)[!N])]|[CH3][NH]|"{""CH3NH"": 1, ""CH3"": -1}"|n|30.05|31|15|1.4337|1.244
CH2NH|[CH2][NH][$([#6,Si;!$([CH](=O));!$(C(=O)[!N])])&!$([CH3])]|[CH2][NH]|"{""CH2NH"": 1, ""CH2"": -1}"|n|29.042|32|15|1.207|0.936
CHNH|[CH][NH][$([#6,Si;!$([CH](=O));!$(C(=O)[!N])])&!$([CH3])&!$([CH2])]|[CH][NH]|"{""CHNH"": 1, ""CH"": -1}"|n|28.034|33|15|0.9795|0.624
CH3N|[CH3][NH0]([#6,Si;!$([CH](=O));!$(C(=O)[!N])])[#6,Si;!$([CH](=O));!$(C(=O)[!N])]|[CH3][NH0]|"{""CH3N"": 1, ""CH3"": -1}"|n|29.042|34|16|1.1865|0.94
CH2N|[CH2][NH0]([$([#6,Si;!$([CH](=O));!$(C(=O)[!N])])&!$([CH3])])[$([#6,Si;!$([CH](=O));!$(C(=O)[!N])])&!$([CH3])]|[CH2][NH0]|"{""CH2N"": 1, ""CH2"": -1}"|n|28.034|35|16|0.9597|0.632
ACNH2|[cH0][NH2]||"{""ACNH2"": 1, ""AC"": -1}"|n|28.034|36|17|1.06|0.816
C5H5N|[n](:[cH]:[cH]1):[cH]:[cH]:[cH]:1||"{""C5H5N"": 1, ""ACH"": -5}"|n|79.102|37|18|2.9993|2.113
C5H4N|[$([n](:[cH0]:[cH]1):[cH]:[cH]:[cH]:1),$([n](:[cH]:[cH0]1):[cH]:[cH]:[cH]:1),$([n](:[cH]:[cH]1):[cH0]:[cH]:[cH]:1),$([n](:[cH]:[cH]1):[cH]:[cH]:[cH0]:1)]||"{""C5H4N"": 1, ""ACH"": -4, ""AC"":-1}"|n|78.094|38|18|2.8332|1.833
C5H3N|[$([n](:[cH]:[cH]1):[cH0]:[cH0]:[cH]:1),$([n](:[cH]:[cH]1):[cH0]:[cH]:[cH0]:1),$([n](:[cH]:[cH0]1):[cH0]:[cH]:[cH]:1),$([n](:[cH0]:[cH]1):[cH0]:[cH]:[cH]:1),$([n](:[cH]:[cH]1):[cH]:[cH0]:[cH0]:1)]||"{""C5H3N"": 1, ""ACH"": -3, ""AC"": -2}"|n|77.086|39|18|2.667|1.553
CH3CN|[CH3][C]#[N]||"{""CH3CN"": 1, ""CH3"": -1}"|n|41.053|40|19|1.8701|1.724
CH2CN|[CH2][C]#[N]||"{""CH2CN"": 1, ""CH2"": -1}"|n|40.045|41|19|1.6434|1.416
COOH|[CH0](*)(=O)(-[OH])|[CH0](=O)(-[OH])|"{""COOH"": 1, ""OH"": -1}"|n|45.017|42|20|1.3013|1.224
HCOOH|[CH](=O)(-[OH])||"{""HCOOH"": 1, ""OH"": -1}"|n|46.025|43|20|1.528|1.532
CH2CL|[CH2](Cl)([!Cl])|[CH2][Cl]|"{""CH2CL"": 1, ""CH2"": -1}"|n|49.48|44|21|1.4654|1.264
CHCL|[CH](Cl)([!Cl])([!Cl])|[CH][Cl]|"{""CHCL"": 1, ""CH"": -1}"|n|48.472|45|21|1.238|0.952
CCL|[CH0](Cl)([!Cl])([!Cl])([!Cl])|[CH0][Cl]|"{""CCL"": 1, ""C"": -1}"|n|47.464|46|21|1.0106|0.724
CH2CL2|[CH2](Cl)(Cl)||"{""CH2CL2"": 1, ""CH2"": -1}"|n|84.933|47|22|2.2564|1.988
CHCL2|[CH](Cl)(Cl)([!Cl])|[CH](Cl)(Cl)|"{""CHCL2"": 1, ""CH"": -1}"|n|83.925|48|22|2.0606|1.684
CCL2|[CH0](Cl)(Cl)([!Cl])([!Cl])|[CH0](Cl)(Cl)|"{""CCL2"": 1, ""C"": -1}"|n|82.917|49|22|1.8016|1.448
CHCL3|[CH](Cl)(Cl)(Cl)||"{""CHCL3"": 1, ""CH"": -1}"|n|119.378|50|23|2.87|2.41
CCL3|[CH0](Cl)(Cl)(Cl)([!Cl])|[CH0](Cl)(Cl)(Cl)|"{""CCL3"": 1, ""C"": -1}"|n|118.37|51|23|2.6401|2.184
CCL4|[CH0](Cl)(Cl)(Cl)(Cl)||"{""CCL4"": 1, ""C"": -1}"|n|153.823|52|24|3.39|2.91
ACCL|[cH0](Cl)||"{""ACCL"": 1, ""AC"": -1}"|n|47.464|53|25|1.1562|0.844
CH3NO2|[CH3]N(=O)(O)||"{""CH3NO2"": 1, ""CH3"": -1}"|n|61.04|54|26|2.0086|1.868
